Price,Company,Operating System,RAM,Type,Warranty,Inches,TouchScreen,HDD,SSD,Generation,Processor Type
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
34490,Lenovo,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 5
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
54990,Acer,Windows11,8,Swift,1,14,NO,0,512.0,12,i5
79990,APPLE,Mac,8,MacBook Air,1,15,NO,0,256.0,0,M1
36490,DELL,Windows11,8,Inspiron,1,15,NO,0,512.0,11,i3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
38990,HP,Windows11,8,N\A,1,15,NO,0,512.0,11,i3
30990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Athlon Dual Core
78990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
20999,HP,DOS,4,N\A,1,15,NO,0,256.0,0,Athlon Dual Core
52790,DELL,Windows11,16,Inspiron,1,15,NO,0,512.0,11,i5
54990,HP,Windows11,16,N\A,1,15,NO,0,512.0,11,i5
35990,Lenovo,Windows11,8,N\A,1,15,NO,0,512.0,12,i3
43990,MSI,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 5
60990,Lenovo,Windows11,16,IdeaPad,1,14,NO,0,512.0,0,Ryzen 5
36990,HP,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 3
40850,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i3
69990,Lenovo,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
86990,Lenovo,Windows11,16,IdeaPad,1,16,NO,0,512.0,13,i7
36499,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i3
62890,ASUS,Windows11,16,VivoBook,1,16,NO,0,512.0,0,Ryzen 7
34490,DELL,DOS,8,N\A,1,14,NO,0,512.0,11,i3
46990,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
32990,Acer,Windows11,8,N\A,1,15,NO,0,512.0,12,i3
78990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
43990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,11,i5
29990,ASUS,Windows11,8,VivoBook,1,15,NO,0,256.0,11,i3
57990,HP,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
50990,realme,Windows11,16,Realme Book,1,15,NO,0,512.0,11,i5
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
43990,MSI,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 5
35990,HP,Windows11,8,N\A,1,15,NO,0,256.0,11,i3
36990,DELL,Windows11,8,Inspiron,1,15,NO,0,512.0,11,i3
69990,Lenovo,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
60990,Lenovo,Windows11,16,IdeaPad,1,14,NO,0,512.0,0,Ryzen 5
79990,APPLE,Mac,8,MacBook Air,1,15,NO,0,256.0,0,M1
30749,Lenovo,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
79990,APPLE,Mac,8,MacBook Air,1,15,NO,0,256.0,0,M1
23990,Acer,Windows11,8,N\A,1,14,NO,0,256.0,11,i3
86990,Lenovo,Windows11,16,IdeaPad,1,16,NO,0,512.0,13,i7
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
46990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,11,i5
56990,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
69990,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,12,i5
26990,Infinix,Windows11,8,N\A,1,15,NO,0,512.0,11,i3
25990,Acer,Windows11,8,N\A,1,15,NO,0,256.0,0,Ryzen 3
43990,HP,Windows11,16,N\A,1,15,NO,0,512.0,12,i3
63990,SAMSUNG,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
42490,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 5
40990,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,0,Ryzen 5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
26990,Infinix,Windows11,8,N\A,1,15,NO,0,256.0,10,i3
37890,HP,Windows11,8,N\A,1,15,NO,0,512.0,11,i3
43990,MSI,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 5
37990,Infinix,Windows11,16,N\A,1,14,NO,0,512.0,12,i5
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
38490,HP,Windows11,8,N\A,1,14,NO,0,512.0,0,i3
34990,Acer,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 5
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
114990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
47990,Acer,Windows11,16,Aspire,1,15,NO,0,512.0,12,i5
38990,MSI,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
29990,SAMSUNG,Windows11,4,Galaxy Book,1,14,NO,0,,0,Other
72990,HP,Windows11,16,Pavilion,1,14,YES,0,512.0,12,i5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
34990,Infinix,Windows11,16,N\A,1,15,NO,0,512.0,11,i5
31990,Acer,Windows11,8,N\A,1,15,NO,0,512.0,11,i3
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
26990,ASUS,Windows11,8,VivoBook,1,15,NO,0,256.0,0,Other
65990,ASUS,Windows11,16,Creator,1,15,NO,0,512.0,0,Ryzen 5
50990,HP,Windows11,8,Pavilion,1,15,NO,0,512.0,12,i3
43990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,0,Ryzen 5
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
54990,DELL,Windows11,8,N\A,1,15,NO,0,512.0,0,i5
26990,Infinix,Windows11,8,N\A,1,15,NO,0,512.0,10,i3
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
72990,MSI,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
66500,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,12,i5
54990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
36490,DELL,Windows11,8,N\A,1,15,NO,0,512.0,11,i3
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
29990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
55350,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,12,i5
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
38990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,0,Ryzen 3
40990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i3
64200,HP,Windows11,8,N\A,1,15,NO,0,512.0,13,i5
65249,HP,Windows11,16,Pavilion,1,15,NO,0,512.0,12,i5
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
36990,Acer,Windows11,8,Aspire,1,15,NO,0,512.0,12,i3
63990,MSI,Windows11,16,N\A,1,15,NO,1024,256.0,11,i7
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
30480,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,0,Other
56990,SAMSUNG,Windows11,8,N\A,1,15,NO,0,256.0,12,i5
36390,DELL,Windows11,8,Inspiron,1,15,NO,0,512.0,11,i3
39990,HP,Windows11,8,N\A,1,14,NO,0,512.0,11,i3
37990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
114990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
79990,HP,Windows11,16,N\A,1,16,NO,0,512.0,0,Ryzen 7
59990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,12,i5
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
60990,Lenovo,Windows11,16,IdeaPad,1,14,NO,0,512.0,0,Ryzen 5
74990,ASUS,Windows11,16,VivoBook,1,14,NO,0,512.0,12,i5
44990,Acer,Windows11,8,Aspire,1,15,NO,0,512.0,12,i5
53800,HP,Windows11,8,Pavilion,1,15,YES,0,512.0,11,i3
50990,Acer,Windows11,16,Aspire,1,15,NO,0,512.0,12,i5
93590,Lenovo,Windows11,16,IdeaPad,1,14,NO,0,512.0,0,Ryzen 7
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
35990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,11,i5
76990,HP,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
23990,Infinix,Windows11,8,N\A,1,15,NO,0,512.0,11,Other
35990,ASUS,Windows11,8,VivoBook,1,14,NO,0,512.0,0,Ryzen 3
57990,Acer,Windows11,8,Aspire,1,15,NO,0,512.0,12,i5
46599,HP,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 5
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
107990,APPLE,Mac,8,MacBook Air,1,13,NO,0,256.0,0,Other
65990,HP,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
114990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
32990,HP,Windows10,8,N\A,1,15,NO,1024,,11,i3
62990,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,0,Ryzen 5
40990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,12,i3
229990,APPLE,Mac,16,MacBook Pro,1,14,NO,0,1024.0,0,Other
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
285490,APPLE,Mac,32,MacBook Pro,1,14,NO,0,1024.0,0,Other
99990,ASUS,Windows11,16,ZenBook,1,13,YES,0,512.0,0,Ryzen 5
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
78990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
51990,Lenovo,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
107990,APPLE,Mac,8,MacBook Air,1,13,NO,0,256.0,0,Other
56390,HP,Windows11,8,Pavilion,1,14,NO,0,512.0,12,i3
88990,ASUS,Windows11,16,Gaming,1,15,NO,0,1024.0,0,Ryzen 7
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
67990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
89990,Acer,Windows11,16,N\A,1,15,NO,0,512.0,12,i7
43990,MSI,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 5
69990,Lenovo,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
107990,APPLE,Mac,8,MacBook Air,1,13,NO,0,256.0,0,Other
51098,HP,Windows11,8,Pavilion,1,14,NO,0,512.0,0,Ryzen 5
38490,DELL,Windows10,8,N\A,1,15,NO,1024,256.0,10,i3
71990,HP,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
60990,Lenovo,Windows11,16,IdeaPad,1,14,NO,0,512.0,0,Ryzen 5
86990,Lenovo,Windows11,16,IdeaPad,1,16,NO,0,512.0,13,i7
106990,MSI,Windows11,16,N\A,1,15,NO,0,1024.0,12,i7
50990,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
42990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,11,i3
37990,Infinix,Windows11,8,N\A,1,15,NO,0,256.0,11,i3
60790,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,11,i7
106990,APPLE,Mac,8,MacBook Air,1,13,NO,0,256.0,0,Other
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
12990,Primebook,Prime,4,Primebook,1,11,NO,0,,0,Other
37990,Infinix,Windows11,16,N\A,1,14,NO,0,512.0,12,i5
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
38990,HP,Windows10,8,N\A,1,15,NO,0,512.0,10,i3
16990,ASUS,Chrome,4,N\A,1,15,YES,0,,0,Other
99990,Acer,Windows11,16,Gaming,1,16,NO,0,512.0,13,i5
35990,Lenovo,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 5
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
126990,APPLE,Mac,8,MacBook Air,1,15,NO,0,256.0,0,Other
64990,Lenovo,Windows11,16,IdeaPad,1,14,YES,0,512.0,0,Ryzen 5
37990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
114990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
62990,HP,Windows11,8,N\A,1,15,NO,0,512.0,13,i5
84990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,12,i7
55990,MSI,Windows11,16,N\A,1,15,NO,1024,256.0,11,i5
19990,Infinix,Windows11,4,N\A,1,15,NO,0,128.0,11,Other
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
35990,Infinix,Windows11,8,N\A,1,15,NO,0,256.0,10,i3
38990,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,12,i3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
78990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
44990,ASUS,Windows11,8,VivoBook,1,14,NO,0,512.0,0,Ryzen 5
56990,ASUS,Windows11,8,VivoBook,1,14,NO,0,512.0,12,i5
84990,Lenovo,Windows11,16,Gaming,1,15,NO,0,512.0,0,Ryzen 7
47490,HP,Windows11,8,N\A,1,15,NO,0,512.0,13,i3
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
22990,CHUWI,Windows11,8,N\A,1,15,NO,0,512.0,10,i3
40990,realme,Windows11,8,Realme Book,1,14,NO,0,512.0,11,i5
43990,MSI,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 5
69990,Lenovo,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
46990,DELL,Windows11,8,Inspiron,1,15,NO,0,1024.0,13,i3
9990,ASUS,Chrome,4,N\A,1,11,NO,0,,0,Other
61990,ASUS,Windows11,16,N\A,1,15,NO,0,512.0,11,i5
58990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,0,Ryzen 5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
57990,ASUS,Windows11,8,N\A,1,15,NO,0,512.0,11,i5
61990,ASUS,Windows11,16,N\A,1,15,NO,0,512.0,11,i5
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
29990,ASUS,Windows11,8,VivoBook,1,15,NO,0,256.0,11,i3
65990,SAMSUNG,Windows11,8,Galaxy Book,1,15,NO,0,512.0,12,i5
10990,ASUS,Chrome,4,N\A,1,11,NO,0,,0,Other
137990,APPLE,Mac,8,MacBook Air,1,13,NO,0,512.0,0,Other
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
66490,Lenovo,Windows10,8,IdeaPad,1,15,NO,0,512.0,0,Ryzen 5
37990,DELL,Windows11,8,N\A,1,15,NO,0,512.0,0,i3
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
34490,HP,DOS,8,N\A,1,15,NO,0,512.0,11,i3
27990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,11,i3
41990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,12,i5
54990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,12,i5
37990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
114990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
40990,Acer,Windows11,8,N\A,1,15,NO,0,512.0,11,i5
34790,DELL,Windows11,8,Inspiron,1,15,NO,0,256.0,0,Ryzen 3
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
33990,Lenovo,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
56990,HP,Windows11,16,Pavilion,1,15,NO,0,512.0,0,Ryzen 5
44990,Acer,Windows11,8,Aspire,1,15,NO,0,512.0,11,i5
61990,MSI,Windows10,8,N\A,1,15,NO,0,512.0,11,i7
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
78990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
37990,Infinix,Windows11,16,N\A,1,14,NO,0,512.0,12,i5
37990,Infinix,Windows11,16,N\A,1,15,NO,0,1024.0,11,i5
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
54490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
115990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,12,i7
35990,DELL,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
74990,ASUS,Windows11,16,VivoBook,1,14,NO,0,512.0,12,i5
43990,MSI,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 5
69990,Lenovo,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
79990,ASUS,Windows11,16,Creator,1,16,NO,0,512.0,12,i5
33940,HP,Windows11,8,N\A,1,15,NO,0,512.0,11,i3
60990,Lenovo,Windows11,16,IdeaPad,1,14,NO,0,512.0,0,Ryzen 5
86990,Lenovo,Windows11,16,IdeaPad,1,16,NO,0,512.0,13,i7
48990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,12,i3
94990,ASUS,Windows11,16,N\A,1,17,NO,0,512.0,12,i5
49990,ASUS,Windows11,8,VivoBook,1,14,YES,0,512.0,12,i3
47990,Infinix,Windows11,16,N\A,1,14,NO,0,512.0,12,i7
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
48990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,11,i5
56990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,0,Ryzen 7
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
35990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,11,i3
39990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,0,Ryzen 3
34790,HP,DOS,8,N\A,1,15,NO,1024,256.0,11,i3
69990,Acer,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
27990,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,256.0,0,Other
16990,HP,Chrome,4,N\A,1,14,YES,0,,0,Other
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
114990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
87990,ASUS,Windows11,16,ZenBook,1,15,YES,0,512.0,12,i5
115490,ASUS,Windows11,16,Gaming,1,16,NO,0,512.0,12,i7
68747,HP,Windows11,16,Pavilion,1,13,NO,0,512.0,0,Ryzen 5
99990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
37990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
99990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
27990,Acer,Windows11,8,Aspire,1,15,NO,0,512.0,0,Ryzen 3
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
33990,Acer,Windows11,8,Aspire,1,15,NO,0,512.0,0,i3
68990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,12,i5
85999,ASUS,Windows11,16,ZenBook,1,15,NO,0,512.0,12,i5
70690,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,0,Ryzen 7
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
72900,HP,Windows11,16,Pavilion,1,15,YES,0,512.0,11,i5
131990,ASUS,Windows11,16,Gaming,1,14,NO,0,1024.0,0,Ryzen 7
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
35490,DELL,Windows11,8,Inspiron,1,15,NO,0,256.0,0,i3
72990,Acer,Windows11,16,Swift,1,14,NO,0,512.0,13,i5
114020,Lenovo,Windows11,16,Gaming,1,15,NO,0,1024.0,0,Ryzen 7
57990,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,11,i5
37990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
69990,Lenovo,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
52990,Infinix,Windows11,16,N\A,1,15,NO,0,1024.0,11,i7
63990,ASUS,Windows11,8,N\A,1,17,NO,0,512.0,0,Ryzen 5
78990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
51098,HP,Windows11,8,Pavilion,1,14,NO,0,512.0,0,Ryzen 5
89990,ASUS,Windows11,16,ZenBook,1,14,YES,0,1024.0,0,Ryzen 7
73990,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,0,Ryzen 7
55490,HP,Windows11,8,Pavilion,1,15,NO,0,512.0,0,Ryzen 5
49890,DELL,Windows11,16,Inspiron,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
26990,Infinix,Windows11,8,N\A,1,15,NO,0,256.0,10,i3
193090,Lenovo,Windows11,16,Gaming,1,16,NO,0,512.0,0,Ryzen 7
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
45990,ASUS,Windows11,8,VivoBook,1,14,NO,0,512.0,13,i3
126990,APPLE,Mac,8,MacBook Air,1,15,NO,0,256.0,0,Other
16990,AXL,Windows11,4,AXL,1,15,NO,0,256.0,0,Other
33400,HP,Windows11,8,N\A,1,15,NO,0,256.0,0,Ryzen 5
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
